Experiment        l_min  l_center   l_max      Power    Sigma_minus  Sigma_plus  Upper Limit
Planck_binned         -999   2474.6     -999     73.7000     15.5000     15.5000    -999.000
Planck_binned         -999   2499.0     -999     61.3000     20.9000     20.9000    -999.000
SPT                   -999    675.0     -999   1781.7000     75.8000     75.8000    -999.000
SPT                   -999    725.0     -999   1935.0000     83.8000     83.8000    -999.000
SPT                   -999    775.0     -999   2421.3000     92.7000     92.7000    -999.000
SPT                   -999    825.0     -999   2571.6001     95.8000     95.8000    -999.000
SPT                   -999    875.0     -999   2156.8999     78.2000     78.2000    -999.000
SPT                   -999    925.0     -999   1582.4000     56.9000     56.9000    -999.000
SPT                   -999    975.0     -999   1137.7000     42.2000     42.2000    -999.000
SPT                   -999   1025.0     -999   1060.9000     39.1000     39.1000    -999.000
SPT                   -999   1075.0     -999   1208.3000     42.8000     42.8000    -999.000
SPT                   -999   1125.0     -999   1186.1000     43.1000     43.1000    -999.000
SPT                   -999   1175.0     -999   1132.9000     42.5000     42.5000    -999.000
SPT                   -999   1225.0     -999    916.0000     33.8000     33.8000    -999.000
SPT                   -999   1275.0     -999    762.6000     27.3000     27.3000    -999.000
SPT                   -999   1325.0     -999    713.6000     26.3000     26.3000    -999.000
SPT                   -999   1375.0     -999    744.8000     26.3000     26.3000    -999.000
SPT                   -999   1425.0     -999    837.1000     28.6000     28.6000    -999.000
SPT                   -999   1475.0     -999    708.0000     24.0000     24.0000    -999.000
SPT                   -999   1525.0     -999    613.9000     20.6000     20.6000    -999.000
SPT                   -999   1575.0     -999    456.6000     16.5000     16.5000    -999.000
SPT                   -999   1625.0     -999    383.7000     13.6000     13.6000    -999.000
SPT                   -999   1675.0     -999    378.4000     13.1000     13.1000    -999.000
SPT                   -999   1725.0     -999    383.8000     13.2000     13.2000    -999.000
SPT                   -999   1775.0     -999    377.5000     13.1000     13.1000    -999.000
SPT                   -999   1825.0     -999    323.1000     11.6000     11.6000    -999.000
SPT                   -999   1875.0     -999    262.0000      9.7000      9.7000    -999.000
SPT                   -999   1925.0     -999    223.7000      8.5000      8.5000    -999.000
